route	methods	auth_check	cron_check	sig_check
expense-budgets/route.ts	GET,POST	yes	-	-
contact-form/route.ts	POST	-	-	-
weekly-summaries/route.ts	DELETE,GET,POST	yes	-	-
press-kits/route.ts	DELETE,GET,PATCH,POST	yes	-	-
referral-requests/route.ts	DELETE,GET,PATCH,POST	yes	-	-
proof-wall/route.ts	GET,POST	yes	-	-
productivity-heatmap/route.ts	GET	yes	-	-
project-budgets/route.ts	GET,POST	yes	-	-
subcontractors/route.ts	GET,POST	yes	-	-
workflows/route.ts	DELETE,GET,PATCH,POST	yes	-	-
pitch-practice/route.ts	DELETE,GET,POST	yes	-	-
sop-documents/route.ts	DELETE,GET,PATCH,POST	yes	-	-
scope-estimates/route.ts	DELETE,GET,POST	yes	-	-
brand-voice/route.ts	GET,PUT	yes	-	-
income-diversification/route.ts	DELETE,GET,POST	yes	-	-
bio-generator/route.ts	GET,POST	yes	-	-
invoice-analytics/route.ts	GET	yes	-	-
time-reports/route.ts	GET,POST	yes	-	-
time-blocks/route.ts	DELETE,GET,POST	yes	-	-
snippets/route.ts	GET,POST	yes	-	-
negotiations/route.ts	DELETE,GET,PATCH,POST	yes	-	-
clients/route.ts	GET,POST	yes	-	-
expense-categories/route.ts	GET,POST	yes	-	-
status-updates/route.ts	GET,POST	yes	-	-
contract-templates/route.ts	GET,POST	yes	-	-
settings/route.ts	GET,POST	yes	-	-
retainer-manager/route.ts	GET,POST	yes	-	-
quarterly-reviews/route.ts	DELETE,GET,PATCH,POST	yes	-	-
pipeline/route.ts	GET,POST	yes	-	-
work-boundaries/route.ts	GET,PUT	yes	-	-
income-targets/route.ts	DELETE,GET,POST	yes	-	-
business-expenses/route.ts	GET,POST	yes	-	-
proposal-docs/route.ts	GET,POST	yes	-	-
satisfaction-surveys/route.ts	GET,POST	yes	-	-
daily-tips/route.ts	GET,POST	yes	-	-
invoice-reminders/route.ts	GET,POST	yes	-	-
project-debriefs/route.ts	DELETE,GET,PATCH,POST	yes	-	-
retainers/route.ts	GET,POST	yes	-	-
vendors/route.ts	DELETE,GET,PATCH,POST	yes	-	-
income-statement/route.ts	GET	yes	-	-
calendar-events/route.ts	GET	yes	-	-
