table_name	rls_enabled	rls_forced	policy_count
profiles	t	f	3
project_briefs	t	f	1
project_budgets	t	f	1
project_checkins	t	f	1
project_checklists	t	f	1
project_closeouts	t	f	1
project_costs	t	f	1
project_debriefs	t	f	1
project_decisions	t	f	1
project_deliverables	t	f	1
project_estimates	t	f	1
project_files	t	f	1
project_handoffs	t	f	2
project_inquiries	t	f	1
project_labels	t	f	2
project_milestones	t	f	1
project_notes	t	f	1
project_onboarding	t	f	1
project_pnl_reports	t	f	1
project_resources	t	f	1
project_retrospectives	t	f	1
project_risks	t	f	1
project_scope_changes	t	f	1
project_status_pages	t	f	1
project_status_reports	t	f	1
project_surveys	t	f	1
project_tags	t	f	1
project_tasks	t	f	2
project_templates	t	f	2
project_templates_v2	t	f	1
project_updates	t	f	2
project_velocity_logs	t	f	1
projects	t	f	1
proof_walls	t	f	1
proposal_documents	t	f	1
proposal_draft_versions	t	f	1
proposal_drafts	t	f	2
proposal_profile	t	f	1
proposal_templates	t	f	4
proposal_views	t	f	1
quarterly_reviews	t	f	1
questionnaire_responses	t	f	1
questionnaires	t	f	1
quote_items	t	f	1
quotes	t	f	1
rate_calculations	t	f	1
rate_card_services	t	f	4
rate_card_settings	t	f	2
rate_card_v2	t	f	1
rate_cards	t	f	1
rate_history	t	f	1
rate_increase_history	t	f	1
rate_increase_letters	t	f	1
rate_increase_plans	t	f	1
rate_negotiations	t	f	1
recurring_expenses	t	f	1
recurring_invoices	t	f	1
recurring_schedules	t	f	1
recurring_task_log	t	f	1
recurring_tasks	t	f	1
referral_contacts	t	f	1
referral_requests	t	f	1
referral_rewards	t	f	1
referrals	t	f	2
reminder_log	t	f	1
reminder_settings	t	f	1
retainer_agreements	t	f	1
retainer_contract_payments	t	f	1
retainer_contracts	t	f	2
retainer_hours	t	f	1
retainer_mgr_agreements	t	f	1
retainer_mgr_months	t	f	1
retainer_payments	t	f	1
retainer_proposals	t	f	1
retainer_usage	t	f	1
retainers	t	f	1
revenue_forecasts	t	f	1
revenue_goals	t	f	4
revenue_goals_v2	t	f	1
revenue_leak_analyses	t	f	2
revenue_milestones	t	f	1
risk_assessments	t	f	1
runway_settings	t	f	1
satisfaction_ratings	t	f	1
satisfaction_surveys	t	f	1
savings_goals	t	f	1
savings_snapshots	t	f	1
savings_transactions	t	f	1
scenario_plans	t	f	1
schedule_preferences	t	f	1
scope_analyses	t	f	1
scope_changes	t	f	2
scope_checks	t	f	1
scope_estimates	t	f	2
service_descriptions	t	f	1
service_launch_plans	t	f	1
service_packages	t	f	3
service_pages	t	f	1
session_notes	t	f	1
skill_learning_goals	t	f	1
skills	t	f	1
skills_gap_analyses	t	f	1
sla_documents	t	f	1
smtp_connections	t	f	2
snippets	t	f	1
snooze_reminders	t	f	1
